id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1827153,1827158,0,0.0,0.0,0,0.0,0.0,2,1
1827153,1830594,0,0.0,0.0,0,0.0,0.0,2,1
1827153,1839460,0,0.0,0.0,0,0.0,0.0,2,1
1827153,1853819,0,0.0,0.0,0,0.0,0.0,2,1
1827158,1830594,0,0.0,0.0,0,0.0,0.0,2,1
1827158,1839460,0,0.0,0.0,0,0.0,0.0,2,1
1827158,1853819,0,0.0,0.0,0,0.0,0.0,2,1
1827169,1830143,0,0.0,0.0,0,0.0,0.0,2,1
1827169,1835985,0,0.0,0.0,0,0.0,0.0,1,1
1827169,1850472,0,0.0,0.0,0,0.0,0.0,2,1
1827169,1850487,0,0.0,0.0,0,0.0,0.0,2,1
1827169,1851711,0,0.0,0.0,0,0.0,0.0,2,1
1827169,1851720,0,0.0,0.0,0,0.0,0.0,2,1
1827169,1851724,0,0.0,0.0,0,0.0,0.0,2,1
1827177,1829833,0,0.0,0.0,0,0.0,0.0,1,1
1827177,1842983,0,0.0,0.0,0,0.0,0.0,2,1
1827177,1863446,0,0.0,0.0,0,0.0,0.0,2,1
1827177,1864927,0,0.0,0.0,0,0.0,0.0,0,1
1827177,1864939,0,0.0,0.0,0,0.0,0.0,2,1
1827180,1829240,0,0.0,0.0,0,0.0,0.0,1,1
1827180,1829472,0,0.0,0.0,0,0.0,0.0,1,1
1827180,1830393,0,0.0,0.0,0,0.0,0.0,1,1
1827180,1830424,0,0.0,0.0,0,0.0,0.0,1,1
1827180,1833385,0,0.0,0.0,0,0.0,0.0,1,1
1827180,1835235,0,0.0,0.0,0,0.0,0.0,0,1
1827180,1835602,0,0.0,0.0,0,0.0,0.0,0,1
1827180,1837571,2,0.7213475204444817,0.13333333333333333,60,0.125,0.5,0,-1
1827180,1841572,1,0.35295612386476116,0.0625,60,0.058823529411764705,0.5,2,-1
1827180,1848787,1,0.35295612386476116,0.0625,60,0.058823529411764705,0.5,2,-1
1827180,1853003,1,0.35295612386476116,0.0625,60,0.058823529411764705,0.5,2,-1
1827180,1853018,1,0.35295612386476116,0.0625,60,0.058823529411764705,0.5,2,-1
1827180,1854403,1,0.35295612386476116,0.0625,60,0.058823529411764705,0.5,2,-1
1827180,1855347,2,0.7213475204444817,0.13333333333333333,60,0.125,0.5,3,-1
1827180,1856599,2,0.7213475204444817,0.13333333333333333,60,0.125,0.5,3,-1
1827180,1856607,2,0.7213475204444817,0.13333333333333333,60,0.125,0.5,3,-1
1827180,1857363,0,0.0,0.0,0,0.0,0.0,2,1
1827180,1857404,0,0.0,0.0,0,0.0,0.0,1,1
1827180,1857415,0,0.0,0.0,0,0.0,0.0,0,1
1827180,1857440,0,0.0,0.0,0,0.0,0.0,0,1
1827180,1858546,0,0.0,0.0,0,0.0,0.0,1,1
1827182,1849734,0,0.0,0.0,0,0.0,0.0,1,1
1827182,1850768,0,0.0,0.0,0,0.0,0.0,1,1
1827182,1853410,0,0.0,0.0,0,0.0,0.0,1,1
1827182,1853459,0,0.0,0.0,0,0.0,0.0,1,1
1827182,1854717,0,0.0,0.0,0,0.0,0.0,1,1
1827182,1854723,0,0.0,0.0,0,0.0,0.0,1,1
1827189,1854918,0,0.0,0.0,0,0.0,0.0,1,1
1827189,1854946,0,0.0,0.0,0,0.0,0.0,1,1
1827202,1833590,0,0.0,0.0,0,0.0,0.0,2,1
1827202,1855090,0,0.0,0.0,0,0.0,0.0,1,1
1827202,1856208,0,0.0,0.0,0,0.0,0.0,1,1
1827207,1827576,0,0.0,0.0,55,0.0,0.0,1,1
1827207,1829668,0,0.0,0.0,25,0.0,0.0,2,1
